imageid,pathology,near_COL4A1_rich_50um,alignment_score,area,major_axis_length,minor_axis_length,eccentricity
JRP112,RA,False,0.4881091527422816,1143.731536755927,75.1066825086712,26.7383521292738,0.8884029739859443
JRP112,RA,True,0.42037900637802067,1230.9566210045662,89.06117060909392,28.42086942058382,0.8952394005277262
JRP122,RA,False,0.5300385481760413,1416.1603707179727,87.98736910861544,30.33500088897587,0.8935497276244325
JRP122,RA,True,0.5356608907882203,1455.1535885167464,85.30825243788354,31.60226689745696,0.8846036725669465
JRP141,RA,False,0.5650337637272529,990.8461736998322,70.20710445577868,25.926607746716257,0.885172386416684
JRP141,RA,True,0.5454808628584885,1038.946990902729,73.08295961480016,26.542914487741022,0.8883096665257572
JRP144,OA,False,0.5361750375307117,1283.0983473313465,77.15553038299107,30.766753723874956,0.8662003605930316
JRP144,OA,True,0.5340897722527114,1545.3576137112723,82.32972664716027,33.45663794691205,0.866425605695813
S00292623,OA,False,0.5490259038232798,2344.1385746817487,98.78416362830959,39.44959588112337,0.8678692915197659
S00292623,OA,True,0.5321421935410193,1987.20578923564,95.76544432166678,37.677273572391044,0.8710261353420731
S00293087,OA,False,0.5608827465655102,1622.2094615216918,86.23119168181131,34.22011399478553,0.8566874908253754
S00293087,OA,True,0.5794300178388317,1718.0636160714287,93.06790828792295,36.472641256852,0.8637051054042214
