imageid,pathology,COL6A1_zone,area_mm2,sample_area_mm2,area_fraction
JRP112,RA,COL6A1-poor,16.31338808669955,21.427104875314534,0.761343549752896
JRP112,RA,COL6A1-rich,5.113716788614983,21.427104875314534,0.23865645024710402
JRP122,RA,COL6A1-poor,11.553649471254401,17.57958797981752,0.6572195824224505
JRP122,RA,COL6A1-rich,6.02593850856312,17.57958797981752,0.3427804175775495
JRP141,RA,COL6A1-poor,118.47235506161552,138.70536755602038,0.8541295636145216
JRP141,RA,COL6A1-rich,20.233012494404868,138.70536755602038,0.1458704363854784
JRP144,OA,COL6A1-poor,31.56260209760578,42.49954188335286,0.7426574663848059
JRP144,OA,COL6A1-rich,10.936939785747086,42.49954188335286,0.25734253361519416
S00292623,OA,COL6A1-poor,29.99675488493665,53.23376811931493,0.5634911062035614
S00292623,OA,COL6A1-rich,23.237013234378278,53.23376811931493,0.43650889379643854
S00293087,OA,COL6A1-poor,30.443353092056423,44.48317795095893,0.6843790056011533
S00293087,OA,COL6A1-rich,14.039824858902508,44.48317795095893,0.31562099439884667
