,svm_prob_CD4 T cells,svm_prob_CD90+ CAFs,svm_prob_Dendritic cells,svm_prob_Macrophages,svm_prob_Monocytes,svm_prob_PDPN+ CAFs,svm_prob_T cells,svm_prob_myCAFs,svm_prob_other immune cells,svm_prob_tumour,svm_prob_vessel
exp_0,,,,,,,,,,,
exp_1,,,,,,,,,,,
exp_2,,,,,,,,,,,
exp_3,,,,,,,,,,,
exp_4,,,,,,,,,,,
exp_5,,,,,,,,,,,
exp_6,,,,,,,,,,,
exp_7,,,,,,,,,,,
exp_8,,,,,,,,,,,
exp_9,,,,,,,,,,,
exp_10,,,,,,,,,,,
exp_11,,,,,,,,,,,
exp_12,,,,,,,,,,,
exp_13,,,,,,,,,,,
exp_14,,,,,,,,,,,
exp_15,,,,,,,,,,,
exp_16,,,,,,,,,,,
exp_17,,,,,,,,,,,
exp_18,,,,,,,,,,,
exp_19,,,,,,,,,,,
exp_20,,,,,,,,,,,
exp_21,,,,,,,,,,,
exp_22,,,,,,,,,,,
exp_23,,,,,,,,,,,
exp_24,,,,,,,,,,,
exp_25,,,,,,,,,,,
exp_26,,,,,,,,,,,
exp_27,,,,,,,,,,,
exp_28,,,,,,,,,,,
exp_29,,,,,,,,,,,
exp_30,,,,,,,,,,,
exp_31,,,,,,,,,,,
exp_32,,,,,,,,,,,
exp_33,,,,,,,,,,,
exp_34,,,,,,,,,,,
exp_35,,,,,,,,,,,
exp_36,,,,,,,,,,,
exp_37,,,,,,,,,,,
exp_38,,,,,,,,,,,
exp_39,,,,,,,,,,,
exp_40,,,,,,,,,,,
exp_41,,,,,,,,,,,
exp_42,,,,,,,,,,,
exp_43,,,,,,,,,,,
exp_44,,,,,,,,,,,
exp_45,,,,,,,,,,,
exp_46,,,,,,,,,,,
exp_47,,,,,,,,,,,
exp_48,,,,,,,,,,,
exp_49,,,,,,,,,,,
exp_50,,,,,,,,,,,
exp_51,,,,,,,,,,,
exp_52,,,,,,,,,,,
exp_53,,,,,,,,,,,
exp_54,,,,,,,,,,,
exp_55,,,,,,,,,,,
exp_56,,,,,,,,,,,
exp_57,,,,,,,,,,,
exp_58,,,,,,,,,,,
exp_59,,,,,,,,,,,
exp_60,,,,,,,,,,,
exp_61,,,,,,,,,,,
exp_62,,,,,,,,,,,
exp_63,,,,,,,,,,,
exp_64,,,,,,,,,,,
exp_65,,,,,,,,,,,
exp_66,,,,,,,,,,,
exp_67,,,,,,,,,,,
exp_68,,,,,,,,,,,
exp_69,,,,,,,,,,,
exp_70,,,,,,,,,,,
exp_71,,,,,,,,,,,
exp_72,0.0012874973927930141,0.0008457705918869375,0.00045290817816879154,0.0013211957042133955,0.002030441997734814,0.0010151182116851752,0.0011631251121991596,0.011809295282852848,0.009804154520261893,0.9664218271190866,0.0038486658891173997
exp_73,,,,,,,,,,,
exp_74,0.0012718353044916522,0.0008409204214908874,0.0004486504419146436,0.0013093062730389908,0.002005427507499209,0.001009506131276189,0.0011547326926080181,0.01161572144690396,0.009658750025891685,0.9668928260768415,0.0037923236780433274
exp_75,,,,,,,,,,,
exp_76,,,,,,,,,,,
exp_77,,,,,,,,,,,
exp_78,,,,,,,,,,,
exp_79,,,,,,,,,,,
exp_80,,,,,,,,,,,
exp_81,,,,,,,,,,,
exp_82,,,,,,,,,,,
exp_83,,,,,,,,,,,
exp_84,,,,,,,,,,,
exp_85,,,,,,,,,,,
exp_86,,,,,,,,,,,
